Rank,Full Journal Title,ISSN
1930,Journal of Field Robotics,1556-4959
1932,BIOMEDICINE & PHARMACOTHERAPY,0753-3322
1932,JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,1018-9068
1934,JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,0954-3899
1935,Advances in Microbial Physiology,0065-2911
1935,CLINICAL & EXPERIMENTAL METASTASIS,0262-0898
1935,PSYCHO-ONCOLOGY,1057-9249
1935,PSYCHO-ONCOLOGY,1057-9249
1935,Studies in Science Education,0305-7267
1935,Studies in Science Education,0305-7267
1941,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,0363-6143
1942,JOURNAL OF ECONOMIC GEOGRAPHY,1468-2702
1943,Hepatobiliary Surgery and Nutrition,2304-3881
1943,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,0168-1605
1945,Advances In Atomic Molecular and Optical Physics,1049-250X
1945,Therapeutic Advances in Musculoskeletal Disease,1759-720X
1947,CURRENT ALLERGY AND ASTHMA REPORTS,1529-7322
1947,MOLECULAR HUMAN REPRODUCTION,1360-9947
1947,Molecular Brain,1756-6606
1950,IEEE Antennas and Wireless Propagation Letters,1536-1225
1951,International Journal of Hospitality Management,0278-4319
1951,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,1361-9209
1951,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,1361-9209
1954,INFORMATION PROCESSING & MANAGEMENT,0306-4573
1954,INFORMATION PROCESSING & MANAGEMENT,0306-4573
1954,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,0276-8739
1954,SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,1079-0632
1958,Infection and Drug Resistance,1178-6973
1959,Biogeosciences,1726-4170
1959,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,0957-5820
1961,BRAIN RESEARCH BULLETIN,0361-9230
1961,INTERNATIONAL JOURNAL OF HYPERTHERMIA,0265-6736
1961,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,0048-3575
1961,Quaternary Geochronology,1871-1014
1965,HYPERTENSION RESEARCH,0916-9636
1966,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,0005-2736
1966,Journal of Neurogastroenterology and Motility,2093-0879
1968,Expert Review of Clinical Immunology,1744-666X
1969,Seminars in Fetal & Neonatal Medicine,1744-165X
1970,IEEE ELECTRON DEVICE LETTERS,0741-3106
1970,JOURNAL OF SLEEP RESEARCH,0962-1105
1970,JOURNAL OF STRUCTURAL BIOLOGY,1047-8477
1973,Annals of Physical and Rehabilitation Medicine,1877-0657
1973,CHEMICAL RESEARCH IN TOXICOLOGY,0893-228X
1975,Advances in Carbohydrate Chemistry and Biochemistry,0065-2318
1976,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,0377-2217
1977,FARADAY DISCUSSIONS,1359-6640
1977,PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,0079-6107
1979,BASIC AND APPLIED SOCIAL PSYCHOLOGY,0197-3533
1980,AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS,0277-3732
1981,ORGANIC & BIOMOLECULAR CHEMISTRY,1477-0520
1981,TRANSFUSION,0041-1132
1983,JOURNAL OF APPLIED CRYSTALLOGRAPHY,1600-5767
1984,INTERMETALLICS,0966-9795
1985,HEPATOLOGY RESEARCH,1386-6346
1986,Cognitive Neuroscience,1758-8928
1986,Retrovirology,1742-4690
1988,CURRENT OPINION IN GASTROENTEROLOGY,0267-1379
1988,JOURNAL OF ORTHOPAEDIC RESEARCH,0736-0266
1988,Journal of Service Management,1757-5818
1988,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,0921-5093
1992,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,0021-8561
1993,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,0004-6280
1994,JOURNAL OF DRUG TARGETING,1061-186X
1995,JOURNAL OF HEAD TRAUMA REHABILITATION,0885-9701
1995,JOURNAL OF HEAD TRAUMA REHABILITATION,0885-9701
1995,Remote Sensing,2072-4292
1998,ANNALS OF BIOMEDICAL ENGINEERING,0090-6964
1998,Cell and Bioscience,2045-3701
1998,NeoBiota,1619-0033
2001,INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,0959-289X
2001,NANOTECHNOLOGY,0957-4484
2003,JOURNAL OF HEADACHE AND PAIN,1129-2369
2004,JOURNAL OF COMPARATIVE NEUROLOGY,0021-9967
2005,Journal of Materials Research and Technology-JMR&T,2238-7854
2005,ONCOLOGY-NEW YORK,0890-9091
2007,UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS,1078-1439
2008,Journal of Clinical Sleep Medicine,1550-9389
2009,Drug Delivery and Translational Research,2190-393X
2009,SLEEP MEDICINE,1389-9457
2011,BIOCHEMICAL SOCIETY TRANSACTIONS,0300-5127
2011,Frontiers in Physiology,1664-042X
2013,Journal of the American College of Radiology,1546-1440
2014,JOURNAL OF NEUROENDOCRINOLOGY,0953-8194
2014,JOURNAL OF PERIODONTOLOGY,0022-3492
2014,MACROMOLECULAR BIOSCIENCE,1616-5187
2017,COMMUNICATION RESEARCH,0093-6502
2018,CELL BIOLOGY AND TOXICOLOGY,0742-2091
2019,TREE PHYSIOLOGY,0829-318X
2020,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,0146-0404
2020,OPTICS AND LASERS IN ENGINEERING,0143-8166
2022,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,0010-3640
2022,PPAR Research,1687-4757
2024,BRITISH JOURNAL OF OPHTHALMOLOGY,0007-1161
2024,International Journal of Sports Physiology and Performance,1555-0265
2026,NEUROSCIENCE,0306-4522
2027,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2169-897X
2028,HUMAN-COMPUTER INTERACTION,0737-0024
2029,Canadian Journal of Anesthesia-Journal canadien d anesthesie,0832-610X
2030,Biofuels Bioproducts & Biorefining-Biofpr,1932-104X
2031,Digestive Endoscopy,0915-5635
2032,CURRENT TOPICS IN MEDICINAL CHEMISTRY,1568-0266
2032,VIROLOGY,0042-6822
2034,CANCER BIOLOGY & THERAPY,1538-4047
2034,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,1552-4973
2036,PSYCHOLOGICAL ASSESSMENT,1040-3590
2037,CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,1062-4821
2037,ISA TRANSACTIONS,0019-0578
2037,MINERALIUM DEPOSITA,0026-4598
2040,Horticulture Research,2052-7276
2041,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,1077-260X
2042,Epidemics,1755-4365
2042,Green Chemistry Letters and Reviews,1751-8253
2044,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,0884-8173
2045,GENES CHROMOSOMES & CANCER,1045-2257
2046,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,1290-0729
2047,Journal of Geriatric Oncology,1879-4068
2048,ADVANCED ENGINEERING INFORMATICS,1474-0346
2048,BIOMASS & BIOENERGY,0961-9534
2048,IMMUNOLOGY,0019-2805
2051,Kidney International Supplements,2157-1716
2052,BRITISH MEDICAL BULLETIN,0007-1420
2052,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,0361-476X
2052,OPTICS EXPRESS,1094-4087
2055,Journal of the Royal Society Interface,1742-5689
2056,COGNITION,0010-0277
2056,JOURNAL OF HOSPITAL INFECTION,0195-6701
2058,CULTURAL GEOGRAPHIES,1474-4740
2058,IEEE TRANSACTIONS ON POWER DELIVERY,0885-8977
2058,SEMINARS IN NEPHROLOGY,0270-9295
2061,PHYTOTHERAPY RESEARCH,0951-418X
2062,OCULAR IMMUNOLOGY AND INFLAMMATION,0927-3948
2063,BEHAVIORAL ECOLOGY,1045-2249
2063,Food Packaging and Shelf Life,2214-2894
2063,PROSTATE,0270-4137
2066,SEXUALLY TRANSMITTED INFECTIONS,1368-4973
2067,Biology Letters,1744-9561
2067,SEMINARS IN THROMBOSIS AND HEMOSTASIS,0094-6176
2069,INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,0734-743X
2069,JOURNAL OF COUNSELING PSYCHOLOGY,0022-0167
2071,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,0175-7598
2071,Diabetes & Vascular Disease Research,1479-1641
2071,EXCEPTIONAL CHILDREN,0014-4029
2071,Journal of Gynecologic Oncology,2005-0380
2071,MOLECULAR MEDICINE,1076-1551
2076,JOURNAL OF ARTHROPLASTY,0883-5403
2076,Journal of Sexual Medicine,1743-6095
2078,Essays in Biochemistry,0071-1365
2078,MEDICAL CARE,0025-7079
2078,MEDICAL CARE,0025-7079
2078,TRANSPORTATION SCIENCE,0041-1655
2078,TRANSPORTATION SCIENCE,0041-1655
2083,JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,2169-9003
2083,MARINE CHEMISTRY,0304-4203
2085,PHARMACEUTICAL RESEARCH,0724-8741
2086,CIRP ANNALS-MANUFACTURING TECHNOLOGY,0007-8506
2086,INTERNATIONAL JOURNAL OF ONCOLOGY,1019-6439
2088,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,0098-5589
2089,Journal of Sustainable Tourism,0966-9582
2090,ENVIRONMENTAL REVIEWS,1208-6053
2091,AICHE JOURNAL,0001-1541
2091,BRITISH JOURNAL OF POLITICAL SCIENCE,0007-1234
2091,EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,1473-7159
2094,ACTA OPHTHALMOLOGICA,1755-375X
2094,JOURNAL OF SECOND LANGUAGE WRITING,1060-3743
2096,Endoscopic Ultrasound,2303-9027
2097,DRUG AND ALCOHOL DEPENDENCE,0376-8716
2097,DRUG AND ALCOHOL DEPENDENCE,0376-8716
2099,MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,0218-2025
2100,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,0939-4753
2101,BMC Medical Genomics,1755-8794
2102,Materials Science and Engineering B-Advanced Functional Solid-State Materials,0921-5107
2103,MATURITAS,0378-5122
2103,STEM CELLS AND DEVELOPMENT,1547-3287
2105,EvoDevo,2041-9139
2105,NUTRITIONAL NEUROSCIENCE,1028-415X
2107,MOLECULAR AND CELLULAR NEUROSCIENCE,1044-7431
2108,EXPERIMENTAL CELL RESEARCH,0014-4827
2109,GEOMORPHOLOGY,0169-555X
2110,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,1618-2642
2110,LEADERSHIP QUARTERLY,1048-9843
2112,CHEMICAL ENGINEERING SCIENCE,0009-2509
2112,Journal of Prosthodontic Research,1883-1958
2112,PLANT AND SOIL,0032-079X
2115,Conflict and Health,1752-1505
2115,Conflict and Health,1752-1505
2115,JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,1090-0241
2118,CELL CYCLE,1538-4101
2118,CRYSTENGCOMM,1466-8033
2118,INFLAMMOPHARMACOLOGY,0925-4692
2118,JOINT BONE SPINE,1297-319X
2118,PHYSICAL REVIEW C,2469-9985
2123,CALIFORNIA MANAGEMENT REVIEW,0008-1256
2124,HYDROMETALLURGY,0304-386X
2124,WORLD JOURNAL OF GASTROENTEROLOGY,1007-9327
2126,REVIEWS IN FISH BIOLOGY AND FISHERIES,0960-3166
2127,Chinese Physics C,1674-1137
2127,INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,1438-4221
2127,Journal of Immunology Research,2314-8861
2130,JOURNAL OF MOLECULAR ENDOCRINOLOGY,0952-5041
2131,CHEMICO-BIOLOGICAL INTERACTIONS,0009-2797
2131,IET Control Theory and Applications,1751-8644
2133,ECONOMIC GEOLOGY,0361-0128
2133,JAMA Otolaryngology-Head & Neck Surgery,2168-6181
2135,Integrative Biology,1757-9694
2135,JOURNAL OF VASCULAR SURGERY,0741-5214
2137,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,0193-1857
2137,CALCIFIED TISSUE INTERNATIONAL,0171-967X
2139,Annual Review of Statistics and Its Application,2326-8298
2140,Current Alzheimer Research,1567-2050
2140,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,0012-1622
2140,Food & Function,2042-6496
2140,Personality Disorders-Theory Research and Treatment,1949-2715
2140,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,1366-5545
2140,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,1366-5545
2140,Vehicular Communications,2214-2096
2147,BMC CANCER,1471-2407
2148,DIGESTIVE AND LIVER DISEASE,1590-8658
2148,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,0091-0627
2150,IEEE Transactions on Network and Service Management,1932-4537
2150,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,0947-5745
2150,Movement Ecology,2051-3933
2150,Open Biology,2046-2441
2154,NUCLEAR PHYSICS B,0550-3213
2154,VACCINE,0264-410X
2156,CLASSICAL AND QUANTUM GRAVITY,0264-9381
2157,European Journal of Internal Medicine,0953-6205
2157,JOURNAL OF ACCOUNTING & ECONOMICS,0165-4101
2157,JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,0171-5216
2160,MARINE AND PETROLEUM GEOLOGY,0264-8172
2161,Current Opinion in Endocrinology Diabetes and Obesity,1752-296X
2162,HUMAN RESOURCE MANAGEMENT REVIEW,1053-4822
2163,International Journal of Computer-Supported Collaborative Learning,1556-1607
2163,Toxins,2072-6651
2165,Journal of Mixed Methods Research,1558-6898
2166,MycoKeys,1314-4057
2167,HISTOPATHOLOGY,0309-0167
2168,BIOGEOCHEMISTRY,0168-2563
2168,GASTROENTEROLOGY CLINICS OF NORTH AMERICA,0889-8553
2168,TOXICOLOGY,0300-483X
2171,HARVARD REVIEW OF PSYCHIATRY,1067-3229
2171,HARVARD REVIEW OF PSYCHIATRY,1067-3229
2173,ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,1081-1206
2173,FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS,0015-8208
2173,NEUROUROLOGY AND URODYNAMICS,0733-2467
2176,DEVELOPMENTAL BIOLOGY,0012-1606
2177,BRITISH JOURNAL OF GENERAL PRACTICE,0960-1643
2178,CYTOMETRY PART A,1552-4922
2179,ASIAN JOURNAL OF ANDROLOGY,1008-682X
2180,ARCHIVES OF DISEASE IN CHILDHOOD,0003-9888
2181,CATENA,0341-8162
2181,ECOLOGY AND SOCIETY,1708-3087
2181,ECOLOGY AND SOCIETY,1708-3087
2181,INFECTION AND IMMUNITY,0019-9567
2181,JOURNAL OF APPLIED PHYSIOLOGY,8750-7587
2186,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692
2187,SOCIAL SCIENCE COMPUTER REVIEW,0894-4393
2187,SOCIAL SCIENCE COMPUTER REVIEW,0894-4393
2189,AMERICAN POLITICAL SCIENCE REVIEW,0003-0554
2190,JOURNAL OF HEALTH ECONOMICS,0167-6296
2190,JOURNAL OF HEALTH ECONOMICS,0167-6296
2190,WORLD POLITICS,0043-8871
2193,JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,0885-3924
2193,Journal of Cancer,1837-9664
2193,PEST MANAGEMENT SCIENCE,1526-498X
2193,PLANTA,0032-0935
2193,RADIOGRAPHICS,0271-5333
2198,Atmospheric Measurement Techniques,1867-1381
2198,JOURNAL OF SMALL BUSINESS MANAGEMENT,0047-2778
2200,INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,1357-2725
2200,JOURNAL OF YOUTH AND ADOLESCENCE,0047-2891
2200,MONTHLY WEATHER REVIEW,0027-0644
2203,TRIBOLOGY INTERNATIONAL,0301-679X
2204,NEUROBIOLOGY OF LEARNING AND MEMORY,1074-7427
2204,NEUROBIOLOGY OF LEARNING AND MEMORY,1074-7427
2204,Technological and Economic Development of Economy,2029-4913
2207,MARINE POLLUTION BULLETIN,0025-326X
2207,NEUROCOMPUTING,0925-2312
2209,Open Forum Infectious Diseases,2328-8957
2210,Journal of the Mechanical Behavior of Biomedical Materials,1751-6161
2211,JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,0898-4921
2211,Research in Organizational Behavior,0191-3085
2213,Global Environmental Politics,1526-3800
2214,IUBMB LIFE,1521-6543
2215,CHEMICAL SENSES,0379-864X
2215,JOURNAL OF ELECTROANALYTICAL CHEMISTRY,1572-6657
2215,Reviews of Physiology Biochemistry and Pharmacology,0303-4240
2215,UNIVERSITY OF PENNSYLVANIA LAW REVIEW,0041-9907
2219,CURRENT HYPERTENSION REPORTS,1522-6417
2219,LIFE SCIENCES,0024-3205
2221,INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,0140-7007
2221,Maternal and Child Nutrition,1740-8695
2223,INFORMATION SYSTEMS FRONTIERS,1387-3326
2223,JOURNAL OF SYNCHROTRON RADIATION,1600-5775
2225,CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY,1040-8347
2225,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,1549-3296
2227,Cancer Research and Treatment,1598-2998
2227,POWDER TECHNOLOGY,0032-5910
2227,RESPIRATORY MEDICINE,0954-6111
2230,BEHAVIOR THERAPY,0005-7894
2230,JOURNAL OF NEUROVIROLOGY,1355-0284
2232,BIOCHEMICAL ENGINEERING JOURNAL,1369-703X
2232,BIOLOGY OF THE CELL,0248-4900
2232,MITOCHONDRION,1567-7249
2235,APPLIED LINGUISTICS,0142-6001
2235,SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,1069-3424
2237,EXPERIMENTAL GERONTOLOGY,0531-5565
2238,ARCHIVES OF SEXUAL BEHAVIOR,0004-0002
2239,PSYCHOPHARMACOLOGY,0033-3158
2240,Earth and Space Science,2333-5084
2240,JOURNAL OF COMPUTATIONAL CHEMISTRY,0192-8651
2240,LONG RANGE PLANNING,0024-6301
2243,REJUVENATION RESEARCH,1549-1684
2244,JOURNAL OF BACTERIOLOGY,0021-9193
2245,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,2156-3357
2245,Research Synthesis Methods,1759-2879
2247,CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,1442-6404
2248,Business & Society,0007-6503
2248,DERMATOLOGIC CLINICS,0733-8635
2250,JOURNAL OF URBAN TECHNOLOGY,1063-0732
2250,Journal of Diabetes,1753-0393
2252,Biomechanics and Modeling in Mechanobiology,1617-7959
2253,Genes and Nutrition,1865-3499
2254,JOURNAL OF RESEARCH IN SCIENCE TEACHING,0022-4308
2254,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,0942-2056
2256,CLINICAL JOURNAL OF PAIN,0749-8047
2257,AAPG BULLETIN,0149-1423
2258,Child Development Perspectives,1750-8592
2258,TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,0020-2754
2260,ChemPlusChem,2192-6506
2260,Journal of Animal Science and Biotechnology,2049-1891
2260,Molecular Pain,1744-8069
2263,EXPERIMENTAL THERMAL AND FLUID SCIENCE,0894-1777
2263,QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,1460-2725
2265,ASTROPARTICLE PHYSICS,0927-6505
2265,GENE THERAPY,0969-7128
2267,Cancer Medicine,2045-7634
2267,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,1201-9712
2267,MEDICAL MICROBIOLOGY AND IMMUNOLOGY,0300-8584
2270,CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,0392-856X
2270,EUROPEAN EATING DISORDERS REVIEW,1072-4133
2270,NEW JOURNAL OF CHEMISTRY,1144-0546
2273,JOURNAL OF GLACIOLOGY,0022-1430
2274,CEREBELLUM,1473-4222
2274,Multiple Sclerosis and Related Disorders,2211-0348
2274,PSYCHIATRY AND CLINICAL NEUROSCIENCES,1323-1316
2277,ADVANCES IN ENGINEERING SOFTWARE,0965-9978
2277,BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY,1521-6942
2277,World Journal of Emergency Surgery,1749-7922
2280,ASSESSMENT,1073-1911
2280,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,0960-085X
2280,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,0960-085X
2280,JOURNAL OF FOOD ENGINEERING,0260-8774
2280,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,0733-9496
2285,PHARMACOTHERAPY,0277-0008
2285,TRANSPLANT INTERNATIONAL,0934-0874
2287,COMPUTERS & INDUSTRIAL ENGINEERING,0360-8352
2288,LAND USE POLICY,0264-8377
2289,HEMATOLOGICAL ONCOLOGY,0278-0232
2289,POLYMER DEGRADATION AND STABILITY,0141-3910
2291,EUROPEAN JOURNAL OF AGRONOMY,1161-0301
2292,Annual Review of Economics,1941-1383
2292,Genes,2073-4425
2294,Future Microbiology,1746-0913
2294,Purinergic Signalling,1573-9538
2296,BIOCHIMIE,0300-9084
2296,JOURNAL OF WORLD PREHISTORY,0892-7537
2296,MOLECULAR IMMUNOLOGY,0161-5890
2299,NEUROTOXICITY RESEARCH,1029-8428
2299,PHYTOCHEMISTRY,0031-9422
2301,ANNALS OF THE MISSOURI BOTANICAL GARDEN,0026-6493
2301,CLINICAL THERAPEUTICS,0149-2918
2301,FISH & SHELLFISH IMMUNOLOGY,1050-4648
2304,BIOLOGY OF REPRODUCTION,0006-3363
2305,ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH,0145-6008
2306,AGRICULTURAL WATER MANAGEMENT,0378-3774
2306,Critical Perspectives on Accounting,1045-2354
2308,Communications in Nonlinear Science and Numerical Simulation,1007-5704
2308,HYDROLOGICAL PROCESSES,0885-6087
2310,JOURNAL OF TEACHER EDUCATION,0022-4871
2311,ENDOCRINE,1355-008X
2311,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,0730-7268
2311,JOURNAL OF EXPERIMENTAL BIOLOGY,0022-0949
2314,Surgical Oncology Clinics of North America,1055-3207
2315,HEALTH PSYCHOLOGY,0278-6133
2315,HEALTH PSYCHOLOGY,0278-6133
2317,Earth Surface Dynamics,2196-6311
2317,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,0018-9480
2319,Energy Technology,2194-4288
2319,Learning Media and Technology,1743-9884
2321,APPETITE,0195-6663
2321,Climate of the Past,1814-9324
2321,Progress in Brain Research,0079-6123
2324,BEHAVIOURAL BRAIN RESEARCH,0166-4328
2324,ChemNanoMat,2199-692X
2326,Journal of Parkinsons Disease,1877-7171
2326,PEDIATRIC DIABETES,1399-543X
2328,AMERICAN JOURNAL OF CARDIOLOGY,0002-9149
2329,American Economic Journal-Macroeconomics,1945-7707
2329,FOREST ECOLOGY AND MANAGEMENT,0378-1127
2331,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,1720-8386
2331,TOXICOLOGY LETTERS,0378-4274
2331,WORLD DEVELOPMENT,0305-750X
2334,Interface Focus,2042-8898
2334,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,1011-1344
2336,AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,1931-857X
2337,Neurocritical Care,1541-6933
2337,Parasites & Vectors,1756-3305
2339,NEURAL PLASTICITY,2090-5904
2340,JOURNAL OF THE ATMOSPHERIC SCIENCES,0022-4928
2340,MARINE ENVIRONMENTAL RESEARCH,0141-1136
2340,PEDIATRIC PULMONOLOGY,8755-6863
2343,Expert Opinion On Drug Safety,1474-0338
2344,Annals of Clinical Microbiology and Antimicrobials,1476-0711
2344,Neuroscience Bulletin,1673-7067
2346,NBER Macroeconomics Annual,0889-3365
2347,EXPERIMENTAL EYE RESEARCH,0014-4835
2347,Frontiers in Neuroanatomy,1662-5129
2347,Public Management Review,1471-9037
2350,Ad Hoc Networks,1570-8705
2350,Expert Opinion on Drug Metabolism & Toxicology,1742-5255
2350,TRANSPORTATION,0049-4488
2350,TRANSPORTATION,0049-4488
2354,JOURNAL OF PLANNING LITERATURE,0885-4122
2354,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,0099-1112
2356,Journal of Diabetes Investigation,2040-1124
2356,PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,0960-8974
2356,REGIONAL STUDIES,0034-3404
2359,JOURNAL OF PHYSICAL CHEMISTRY B,1520-6106
2360,High Power Laser Science and Engineering,2095-4719
2360,ONCOLOGY RESEARCH,0965-0407
2360,npj Vaccines,2059-0105
2363,Expert Review of Anti-Infective Therapy,1478-7210
2363,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,0888-5885
2365,WORK AND STRESS,0267-8373
2365,World Journal of Gastrointestinal Oncology,1948-5204
2367,JOURNAL OF CRIMINAL JUSTICE,0047-2352
2368,COMPUTERS AND GEOTECHNICS,0266-352X
2368,Frontiers in Behavioral Neuroscience,1662-5153
2368,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,1319-562X
2371,Journal of the International Society of Sports Nutrition,1550-2783
2371,MELANOMA RESEARCH,0960-8931
2373,JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,0271-0749
2374,OCEANOGRAPHY,1042-8275
2374,ORGANIZATION STUDIES,0170-8406
2376,DIABETIC MEDICINE,0742-3071
2376,INTERNATIONAL JOURNAL OF FATIGUE,0142-1123
2378,Frontiers in Neural Circuits,1662-5110
2378,HPB,1365-182X
2378,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,0040-1625
2381,LWT-FOOD SCIENCE AND TECHNOLOGY,0023-6438
2382,ACTA DERMATO-VENEREOLOGICA,0001-5555
2382,FIELD CROPS RESEARCH,0378-4290
2382,OECOLOGIA,0029-8549
2385,ACTA DIABETOLOGICA,0940-5429
2385,ACTA NEUROLOGICA SCANDINAVICA,0001-6314
2387,AMERICAN JOURNAL OF ROENTGENOLOGY,0361-803X
2387,BRAIN RESEARCH,0006-8993
2387,Environmental Chemistry Letters,1610-3653
2387,Foundations and Trends in Information Retrieval,1554-0669
2387,HUMAN PATHOLOGY,0046-8177
2387,Nanoscale Research Letters,1556-276X
2393,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4074
2394,PEDIATRIC RESEARCH,0031-3998
2395,Current Oncology Reports,1523-3790
2395,JOURNAL OF SUPERCRITICAL FLUIDS,0896-8446
2397,NEW MEDIA & SOCIETY,1461-4448
2398,AMERICAN JOURNAL OF CHINESE MEDICINE,0192-415X
2398,Current Opinion in Critical Care,1070-5295
2398,EAR AND HEARING,0196-0202
2398,JOURNAL OF ENVIRONMENTAL SCIENCES,1001-0742
2398,Physiotherapy,0031-9406
2403,Spine Journal,1529-9430
2404,ANNALS OF BEHAVIORAL MEDICINE,0883-6612
2404,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,0003-9861
2404,INTERNATIONAL IMMUNOPHARMACOLOGY,1567-5769
2404,PSYCHOPHYSIOLOGY,0048-5772
2404,PSYCHOPHYSIOLOGY,0048-5772
2409,APPLIED GEOGRAPHY,0143-6228
2409,SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,0930-2794
2411,FAMILY PROCESS,0014-7370
2411,Innovative Food Science & Emerging Technologies,1466-8564
2413,JOURNAL OF ETHNOPHARMACOLOGY,0378-8741
2414,Anatomical Sciences Education,1935-9772
2415,COMPUTERS & CHEMICAL ENGINEERING,0098-1354
2415,MOLECULAR REPRODUCTION AND DEVELOPMENT,1040-452X
