issn,journal_title,issn_cr,Source title,Source type,ASJC field IDs,Year,Citing source,P,IPP,IPP (lower bound),IPP (upper bound),SNIP.x,SNIP (lower bound),SNIP (upper bound),% self cit,issn_type,year_founded,year_OA_initiated,year_reverse_flipped,OA_content_still_OA,journal_location,prev. publisher,journal_name,publisher,oa_model,apc_pre,apc_post,apc_now,evidence,evidence_II,evidence_III,Comment,Discipline,SNIP.y,najko,mikael,included in OAD,X__1,Has been a subscription journal before OA?,Founded before 1985? (Assumed to have been subscr. based if founded before that),Link evidence of subscription-based past,Link evidence of born oa-based past,Flipped OA,Born OA,id
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2001,0,9,0,0,0,0,0,0,0,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2002,0,28,0.0714285714285714,0,0.214285714285714,0.132005494505495,0,0.396016483516484,0,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2003,1,60,0.116666666666667,0.05,0.2,0.111759450644217,0.0166255113854363,0.275873420235801,0.142857142857143,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2004,1,83,0.072289156626506,0.0240963855421687,0.132530120481928,0.0461093765342825,0.00201223412269845,0.108512373700724,0.333333333333333,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2005,1,96,0.135416666666667,0.0625,0.21875,0.0995369699786154,0.0403494792530669,0.169653491478143,0.153846153846154,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2006,1,96,0.229166666666667,0.125,0.34375,0.222967027050269,0.102766249634319,0.392690259971362,0.181818181818182,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2007,1,104,0.326923076923077,0.201923076923077,0.471153846153846,0.331350955053431,0.176626611033785,0.530104074583198,0.117647058823529,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2008,1,111,0.351351351351351,0.243243243243243,0.459459459459459,0.30081497682741,0.16316541895162,0.456931198164783,0.230769230769231,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2009,1,133,0.601503759398496,0.451127819548872,0.796992481203007,0.425949217684382,0.286296905411555,0.618901761112002,0.45,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2010,1,149,0.536912751677852,0.416107382550336,0.671140939597315,0.439683350130551,0.305732937773331,0.618678898838914,0.4625,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2011,1,158,0.70253164556962,0.569620253164557,0.835443037974684,0.560789318515942,0.409582815107891,0.718328298592737,0.207207207207207,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2012,1,161,0.91304347826087,0.726708074534162,1.1304347826087,0.559274899405282,0.420555258710123,0.719267137490467,0.19047619047619,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2013,1,194,1.11855670103093,0.917525773195876,1.35567010309278,0.689853255132236,0.545858724408942,0.852839031566339,0.138248847926267,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2014,1,213,1.67605633802817,1.44600938967136,1.91079812206573,1.0044750048798,0.826526247449521,1.18480920523192,0.109243697478992,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2015,1,230,1.8695652173913,1.60869565217391,2.13478260869565,0.96274161631843,0.780940845945126,1.14593336967288,0.0325581395348837,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2016,1,193,2.09326424870466,1.7720207253886,2.47150259067358,1.04153956576612,0.849980395114063,1.27488147934234,0.0123762376237624,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231,"DARU, Journal of Pharmaceutical Sciences",Journal,2700; 3002; 3004,2017,1,148,2.14189189189189,1.76351351351351,2.50675675675676,1.001085636506,0.799783490853486,1.21330691310547,0.00630914826498423,Electronic ISSN,1993,NA,2018,NA,Iran,co Tehran University of Medical Sciences.,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046.0,3000.0,3000.0,Springer Nature OA List,Manual Check,NA,NA,Health,NA,NA,NA,NA,NA,NA,0,Seems to have flipped to OA at some point in later 00s based on https://en.wikipedia.org/w/index.php?title=DARU_Journal_of_Pharmaceutical_Sciences&oldid=242734767 and https://web.archive.org/web/20090101000000*/http://journals.tums.ac.ir,NA,1,0,2008-2231
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,1999,1,57,0.087719298245614,0.0175438596491228,0.175438596491228,0.705263157894737,0.110526315789474,1.47894736842105,0.8,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2e3,1,60,0.1,0.0333333333333333,0.183333333333333,0.737845849802372,0.217391304347826,1.33784584980237,0.666666666666667,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2001,1,55,0.0545454545454545,0,0.127272727272727,0.397792207792208,0,0.99038961038961,0.333333333333333,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2002,0,67,0.0447761194029851,0,0.104477611940299,0.306369936034115,0,0.773720682302772,0,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2003,0,83,0.0843373493975904,0.036144578313253,0.144578313253012,0.220796950869681,0.0365241453619356,0.469054790590935,0,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2004,0,62,0.0806451612903226,0.0161290322580645,0.17741935483871,0.161175464320626,0.0220625610948192,0.366590909090909,0,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2005,0,37,0.0540540540540541,0,0.135135135135135,0.545454545454545,0,1.36363636363636,0,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2006,0,29,0.0344827586206897,0,0.103448275862069,0.0991379310344828,0,0.297413793103448,0,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2007,0,52,0.326923076923077,0.153846153846154,0.519230769230769,0.785945892529638,0.224052014369032,1.56045858594556,0,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2008,1,69,0.27536231884058,0.144927536231884,0.405797101449275,0.305657587358498,0.139967023598737,0.491145319100126,0.368421052631579,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2009,1,67,0.492537313432836,0.208955223880597,0.850746268656716,0.870637121842276,0.444485545144017,1.3865335690182,0.303030303030303,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2010,1,66,0.424242424242424,0.227272727272727,0.651515151515151,0.65923301237414,0.293701529472816,1.13173259707023,0.0714285714285714,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2011,1,86,0.430232558139535,0.22093023255814,0.697674418604651,0.398593671365786,0.190878799462246,0.656897272337287,0.162162162162162,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2012,1,86,0.116279069767442,0.0465116279069767,0.197674418604651,0.1135156415114,0.0400040932658197,0.202100339031771,0,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2013,1,77,0.285714285714286,0.142857142857143,0.467532467532468,0.196366759388007,0.0964089878375593,0.321905608643469,0.318181818181818,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
0251-3625,disP - The Planning Review,2166-8604,DISP,Journal,3305,2014,1,71,0.309859154929577,0.169014084507042,0.47887323943662,0.353375022040179,0.135147462953644,0.626407874876025,0.227272727272727,Electronic ISSN,1965,NA,2009,NA,Switzerland,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950.0,Scopus 2014-2018 Check,Manual Check,"Hybrid since 2013, T&F","Potential reverse flip, spent a lot of time trying to map the journey of this journal. Was started in the 1960s so at some point converted to OA, up until the end of 2008 it was available OA through https://web.archive.org/web/20070703014349/http://www.nsl.ethz.ch:80/index.php/de/content/view/full/100/ , then went subscription-based seemingly self-published  from the start of 2009 until the end of 2011, and from the start of 2012 has been published as a subscription journal with T&F https://www.tandfonline.com/loi/rdsp20",SSH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0251-3625
